"copy","task","rep","model","models_billed","started_at","wall_ms","cost_usd","num_turns","duration_ms","duration_api_ms","input_tokens","output_tokens","cache_read_tokens","cache_create_tokens","ended","terminal_reason","stop_reason","is_error","permission_denials","skipped_lines","files_read_distinct","read_calls","grep_calls","glob_calls","edit_calls","write_calls","bash_calls","bash_search_calls","gate_blocks","gate_blocks_build","files_changed","lines_added","lines_deleted","files_out_of_scope","build_ok","behaviour_tests_passed","behaviour_tests_failed","arch_tests_passed","arch_tests_failed","dup_blocks_before","dup_blocks_after","dup_lines_pct_after","notes"
"sliced","T1","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:26:07Z","127526","0.8555570000000001","29","125845","103413","34","6976","525296","41728","success","completed","end_turn","False","3","0","13","13","1","2","1","4","4","0","0","0","4","120","0","0","True","18","0","10","0","0","2","4.12","3 permission denials"
"layered","T1","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:28:23Z","124502","0.7490230000000001","26","123223","85854","30","7576","509748","30354","success","completed","end_turn","False","2","0","11","11","0","0","6","2","4","1","1","1","5","120","0","0","True","18","0","9","0","0","3","5.62","2 permission denials"
"sliced","T1","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:30:38Z","91793","0.649696","24","90465","68153","26","6079","423524","28477","success","completed","end_turn","False","2","0","13","13","0","0","1","4","3","1","0","0","4","120","0","0","True","18","0","10","0","0","2","4.12","2 permission denials"
"layered","T1","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:32:18Z","128402","0.7872975","29","127167","90715","36","7565","594707","29958","success","completed","end_turn","False","3","0","13","13","0","1","6","2","3","0","1","1","5","118","0","0","True","18","0","9","0","0","3","5.62","3 permission denials"
"sliced","T1","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:34:36Z","123372","0.7783220000000001","31","122090","94458","34","8143","553026","29700","success","completed","end_turn","False","2","0","13","13","1","3","3","4","4","0","0","0","4","112","0","0","True","18","0","10","0","0","2","4.12","2 permission denials"
"layered","T1","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:36:48Z","128063","0.818422","30","126769","91275","32","8101","568616","33037","success","completed","end_turn","False","3","0","15","15","0","0","6","2","3","1","1","1","5","115","0","0","True","18","0","9","0","0","3","5.62","3 permission denials"
"sliced","T2","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:39:06Z","122200","0.7406969999999999","28","120922","93776","36","7730","569696","26137","success","completed","end_turn","False","3","0","10","10","2","4","6","0","2","0","0","0","4","23","5","1","True","14","0","10","0","0","0","0","3 permission denials"
"layered","T2","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:41:17Z","128192","0.7741665000000001","25","126866","93243","38","7433","610955","28162","success","completed","end_turn","False","4","0","10","10","1","1","5","1","2","0","1","1","4","27","7","1","True","14","0","9","0","0","0","0","4 permission denials"
"sliced","T2","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:43:34Z","110322","0.6493849999999999","24","109097","84473","32","6764","476662","24074","success","completed","end_turn","False","4","0","10","10","1","1","5","0","2","0","0","0","3","16","5","0","True","14","0","10","0","0","0","0","4 permission denials"
"layered","T2","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:45:33Z","150478","0.84876","27","149217","114108","40","9020","652992","29551","success","completed","end_turn","False","2","0","11","11","2","0","6","1","4","2","1","1","4","26","8","1","True","14","0","9","0","0","0","0","2 permission denials"
"sliced","T2","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:48:13Z","103280","0.6349084999999999","26","102029","80265","28","6700","424239","25410","success","completed","end_turn","False","3","0","11","11","1","1","5","0","4","2","0","0","4","20","5","1","True","14","0","10","0","0","0","0","3 permission denials"
"layered","T2","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:50:05Z","134695","0.8010945","28","133462","104201","36","8646","588201","28961","success","completed","end_turn","False","4","0","11","11","3","1","6","0","2","0","1","1","4","23","5","1","True","14","0","9","0","0","0","0","4 permission denials"
"sliced","T3","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:52:29Z","91627","0.620653","23","90275","73293","22","6586","348642","28055","success","completed","end_turn","False","2","0","11","11","0","0","0","4","5","2","0","0","4","119","0","0","True","19","0","10","0","0","0","0","2 permission denials"
"layered","T3","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:54:09Z","100190","0.647575","25","98755","70029","26","6038","423186","28388","success","completed","end_turn","False","2","0","12","12","0","0","3","3","4","1","0","0","5","91","0","0","True","17","0","9","0","0","1","1.33","2 permission denials"
"sliced","T3","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:55:59Z","108732","0.7080355","25","107439","89024","28","7500","457867","29044","success","completed","end_turn","False","3","0","12","12","0","1","0","4","4","1","0","0","4","99","0","0","True","17","0","10","0","0","0","0","3 permission denials"
"layered","T3","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:57:56Z","105649","0.711786","27","104376","76149","24","6942","416948","32862","success","completed","end_turn","False","2","0","14","14","0","0","3","3","4","1","0","0","5","108","0","0","True","18","0","9","0","0","1","1.33","2 permission denials"
"sliced","T3","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T11:59:51Z","79543","0.5677525000000001","22","78241","60877","22","5275","340041","26472","success","completed","end_turn","False","2","0","11","11","0","0","0","4","4","1","0","0","4","77","0","0","True","16","0","10","0","0","0","0","2 permission denials"
"layered","T3","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T12:01:19Z","101419","0.6298735000000001","24","100119","70339","26","5931","414253","27332","success","completed","end_turn","False","2","0","12","12","0","0","3","3","3","1","0","0","5","91","0","0","True","17","0","9","0","0","1","1.33","2 permission denials"
"sliced","T4","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T12:03:10Z","335348","1.8816485","50","334085","290285","58","24561","1449441","54151","success","api_error","stop_sequence","True","4","0","25","25","1","3","6","7","3","0","0","0","13","463","3","0","True","18","0","10","0","0","0","0","claude exit 1; 4 permission denials"
"layered","T4","1","claude-opus-5[1m]","","2026-08-31T12:09:04Z","2003","0","1","466","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","9","0","0","0","0","claude exit 1"
"sliced","T4","2","claude-opus-5[1m]","","2026-08-31T12:09:18Z","2002","0","1","469","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","10","0","0","0","0","claude exit 1"
"layered","T4","2","claude-opus-5[1m]","","2026-08-31T12:09:30Z","1901","0","1","436","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","9","0","0","0","0","claude exit 1"
"sliced","T4","3","claude-opus-5[1m]","","2026-08-31T12:09:44Z","1832","0","1","423","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","10","0","0","0","0","claude exit 1"
"layered","T4","3","claude-opus-5[1m]","","2026-08-31T12:09:56Z","2034","0","1","553","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","9","0","0","0","0","claude exit 1"
"sliced","T5","1","claude-opus-5[1m]","","2026-08-31T12:10:09Z","1900","0","1","464","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","10","0","0","0","0","claude exit 1"
"layered","T5","1","claude-opus-5[1m]","","2026-08-31T12:10:22Z","1976","0","1","458","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","9","0","0","0","0","claude exit 1"
"sliced","T5","2","claude-opus-5[1m]","","2026-08-31T12:10:36Z","1879","0","1","454","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","10","0","0","0","0","claude exit 1"
"layered","T5","2","claude-opus-5[1m]","","2026-08-31T12:10:48Z","1876","0","1","427","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","9","0","0","0","0","claude exit 1"
"sliced","T5","3","claude-opus-5[1m]","","2026-08-31T12:11:01Z","1893","0","1","445","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","10","0","0","0","0","claude exit 1"
"layered","T5","3","claude-opus-5[1m]","","2026-08-31T12:11:13Z","1947","0","1","441","0","0","0","0","0","success","api_error","stop_sequence","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","14","0","9","0","0","0","0","claude exit 1"
